"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 11:03:59 GMT 2021","Wed Aug 11 11:04:01 GMT 2021","1826","vizsgaremek","test_conduit","Test_Conduit","","","test_registration",""
"passed","Wed Aug 11 11:04:06 GMT 2021","Wed Aug 11 11:04:08 GMT 2021","2202","vizsgaremek","test_conduit","Test_Conduit","","","test_cookie",""
"passed","Wed Aug 11 11:05:02 GMT 2021","Wed Aug 11 11:05:06 GMT 2021","3115","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_save_to_file",""
"broken","Wed Aug 11 11:05:08 GMT 2021","Wed Aug 11 11:05:21 GMT 2021","12880","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_delete_article",""
"passed","Wed Aug 11 11:04:15 GMT 2021","Wed Aug 11 11:04:34 GMT 2021","19005","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_new_articles",""
"passed","Wed Aug 11 11:04:03 GMT 2021","Wed Aug 11 11:04:04 GMT 2021","1123","vizsgaremek","test_conduit","Test_Conduit","","","test_login",""
"broken","Wed Aug 11 11:04:47 GMT 2021","Wed Aug 11 11:05:00 GMT 2021","13405","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_change_article",""
"passed","Wed Aug 11 11:04:10 GMT 2021","Wed Aug 11 11:04:13 GMT 2021","2310","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_one_article",""
"passed","Wed Aug 11 11:05:23 GMT 2021","Wed Aug 11 11:05:24 GMT 2021","922","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_logout",""
"broken","Wed Aug 11 11:04:41 GMT 2021","Wed Aug 11 11:04:44 GMT 2021","2892","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_list_articles",""
"passed","Wed Aug 11 11:04:36 GMT 2021","Wed Aug 11 11:04:39 GMT 2021","2752","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_page_list",""
