"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 10:41:26 GMT 2021","Wed Aug 11 10:41:28 GMT 2021","2133","vizsgaremek","test_conduit","Test_Conduit","","","test_cookie",""
"passed","Wed Aug 11 10:41:23 GMT 2021","Wed Aug 11 10:41:24 GMT 2021","956","vizsgaremek","test_conduit","Test_Conduit","","","test_login",""
"passed","Wed Aug 11 10:41:20 GMT 2021","Wed Aug 11 10:41:22 GMT 2021","1666","vizsgaremek","test_conduit","Test_Conduit","","","test_registration",""
"passed","Wed Aug 11 10:41:33 GMT 2021","Wed Aug 11 10:41:46 GMT 2021","13271","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_new_articles",""
"passed","Wed Aug 11 10:41:30 GMT 2021","Wed Aug 11 10:41:32 GMT 2021","1965","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_one_article",""
"passed","Wed Aug 11 10:42:32 GMT 2021","Wed Aug 11 10:42:33 GMT 2021","721","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_logout",""
"passed","Wed Aug 11 10:41:48 GMT 2021","Wed Aug 11 10:41:51 GMT 2021","2583","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_page_list",""
"broken","Wed Aug 11 10:42:18 GMT 2021","Wed Aug 11 10:42:30 GMT 2021","12136","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_delete_article",""
"passed","Wed Aug 11 10:42:13 GMT 2021","Wed Aug 11 10:42:16 GMT 2021","2674","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_save_to_file",""
"passed","Wed Aug 11 10:41:53 GMT 2021","Wed Aug 11 10:41:56 GMT 2021","2648","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_list_articles",""
"broken","Wed Aug 11 10:41:58 GMT 2021","Wed Aug 11 10:42:12 GMT 2021","14688","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_change_article",""
