"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 10:56:14 GMT 2021","Wed Aug 11 10:56:16 GMT 2021","2173","vizsgaremek","test_conduit","Test_Conduit","","","test_cookie",""
"passed","Wed Aug 11 10:56:10 GMT 2021","Wed Aug 11 10:56:12 GMT 2021","1639","vizsgaremek","test_conduit","Test_Conduit","","","test_registration",""
"passed","Wed Aug 11 10:56:23 GMT 2021","Wed Aug 11 10:56:37 GMT 2021","14823","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_new_articles",""
"passed","Wed Aug 11 10:56:19 GMT 2021","Wed Aug 11 10:56:20 GMT 2021","1718","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_one_article",""
"passed","Wed Aug 11 10:57:04 GMT 2021","Wed Aug 11 10:57:08 GMT 2021","4631","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_save_to_file",""
"passed","Wed Aug 11 10:56:40 GMT 2021","Wed Aug 11 10:56:42 GMT 2021","2672","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_page_list",""
"broken","Wed Aug 11 10:56:49 GMT 2021","Wed Aug 11 10:57:02 GMT 2021","13016","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_change_article",""
"passed","Wed Aug 11 10:56:13 GMT 2021","Wed Aug 11 10:56:14 GMT 2021","1012","vizsgaremek","test_conduit","Test_Conduit","","","test_login",""
"broken","Wed Aug 11 10:57:10 GMT 2021","Wed Aug 11 10:57:22 GMT 2021","12005","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_delete_article",""
"passed","Wed Aug 11 10:56:44 GMT 2021","Wed Aug 11 10:56:47 GMT 2021","2759","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_list_articles",""
"passed","Wed Aug 11 10:57:23 GMT 2021","Wed Aug 11 10:57:24 GMT 2021","849","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_logout",""
