"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 20:35:54 GMT 2021","Fri Aug 13 20:35:59 GMT 2021","4807","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_save_to_file",""
"passed","Fri Aug 13 20:35:21 GMT 2021","Fri Aug 13 20:35:36 GMT 2021","15089","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_new_articles",""
"passed","Fri Aug 13 20:35:17 GMT 2021","Fri Aug 13 20:35:19 GMT 2021","2416","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_one_article",""
"passed","Fri Aug 13 20:35:43 GMT 2021","Fri Aug 13 20:35:46 GMT 2021","2750","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_list_articles",""
"passed","Fri Aug 13 20:35:06 GMT 2021","Fri Aug 13 20:35:08 GMT 2021","1737","vizsgaremek","test_conduit","Test_Conduit","","","test_registration",""
"passed","Fri Aug 13 20:35:10 GMT 2021","Fri Aug 13 20:35:11 GMT 2021","970","vizsgaremek","test_conduit","Test_Conduit","","","test_login",""
"passed","Fri Aug 13 20:36:00 GMT 2021","Fri Aug 13 20:36:03 GMT 2021","3080","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_delete_article",""
"passed","Fri Aug 13 20:35:13 GMT 2021","Fri Aug 13 20:35:15 GMT 2021","2140","vizsgaremek","test_conduit","Test_Conduit","","","test_cookie",""
"passed","Fri Aug 13 20:36:05 GMT 2021","Fri Aug 13 20:36:06 GMT 2021","903","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_logout",""
"passed","Fri Aug 13 20:35:39 GMT 2021","Fri Aug 13 20:35:41 GMT 2021","2627","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_page_list",""
"passed","Fri Aug 13 20:35:48 GMT 2021","Fri Aug 13 20:35:52 GMT 2021","3412","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_change_article",""
