"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 21:59:56 GMT 2021","Wed Aug 11 21:59:57 GMT 2021","1117","vizsgaremek","test_conduit","Test_Conduit","","","test_login",""
"passed","Wed Aug 11 22:00:26 GMT 2021","Wed Aug 11 22:00:29 GMT 2021","2719","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_page_list",""
"passed","Wed Aug 11 22:00:07 GMT 2021","Wed Aug 11 22:00:25 GMT 2021","17046","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_new_articles",""
"passed","Wed Aug 11 21:59:58 GMT 2021","Wed Aug 11 22:00:00 GMT 2021","2191","vizsgaremek","test_conduit","Test_Conduit","","","test_cookie",""
"passed","Wed Aug 11 21:59:52 GMT 2021","Wed Aug 11 21:59:54 GMT 2021","1937","vizsgaremek","test_conduit","Test_Conduit","","","test_registration",""
"broken","Wed Aug 11 22:00:35 GMT 2021","Wed Aug 11 22:00:51 GMT 2021","15886","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_change_article",""
"passed","Wed Aug 11 22:00:52 GMT 2021","Wed Aug 11 22:00:55 GMT 2021","3024","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_save_to_file",""
"broken","Wed Aug 11 22:00:58 GMT 2021","Wed Aug 11 22:01:12 GMT 2021","14908","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_delete_article",""
"passed","Wed Aug 11 22:01:15 GMT 2021","Wed Aug 11 22:01:16 GMT 2021","931","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_logout",""
"passed","Wed Aug 11 22:00:02 GMT 2021","Wed Aug 11 22:00:05 GMT 2021","2794","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_one_article",""
"passed","Wed Aug 11 22:00:30 GMT 2021","Wed Aug 11 22:00:33 GMT 2021","2882","vizsgaremek","test_conduit_logged_in","Test_Conduit_Logged_In","","","test_list_articles",""
